interval_frameComposited_VideoEncoded,interval_VideoReceivedByClient_VideoDecoded,interval_network,(client_stats.video_decoder_queue.as_secs_f32()*1000.).to_string(),(client_stats.rendering.as_secs_f32()*1000.).to_string(),(client_stats.vsync_queue.as_secs_f32()*1000.).to_string(),interval_total_pipeline,target_bitrate,plr,bitrate_statistics,total_packets_send,average_packet_size,shard_loss_rate,client_stats.bytes_count.to_string(),frame_send_timestamp,first_packet_arrive,last_packet_arrive,frame_arrive_timestamp,total_size_for_this_frame,total_packets_for_this_frame,timestamp_delta_string,arrival_time_delta_ms_string,packet_size_delta_string,network_estimate,threshold_c,m_trend,target_bitrate_bps_inrtc,current_state,next_state,bitrate_pass_to_webrtc,difference.to_string(),last_decrease,link_lower,link_upper,link_has_estimate,link_estimate,link_devia,test_thr,input_thr,bitrate_estimate_rtc.to_string(),gradient_c.to_string(),delta.to_string(),self.state.to_string(),frame.target_timestamp.as_nanos().to_string(),client_stats.flag_debug.to_string(),client_stats.is_idr.to_string(),AIMD_MANGER.lock().normalize_delta.to_string(),experiment_target_timestamp
4.0234003,5.933958,5.380617,9.654063,0.94776,29.212059,59.47576,40,,,,,0,19997,1723190686435673,1712552971717394,1712552971719058,1712552971719090,19997,1,13.942,14.139000000000001,0,normal,6,0.20900841968829534,40,hold,hold,0,0,0,0,inf,false,,0.4,0,75120452.03463054,75120452.03463054,8.46768957225999,52820.77777777778,2,11621208879297,0,false,1.4507659912109376,20240809_160446
3.8795002,5.281823,4.624447,11.631042,0.799948,29.397625,59.55289,40,,,,,0,18803,1723190686449618,1712552971730927,1712552971731590,1712552971731615,18803,1,13.945,13.533,0,normal,6,0.21191544437567866,40,hold,hold,0,0,0,0,inf,false,,0.4,0,82534078.66538166,82534078.66538166,8.48698258265154,54014.77777777778,2,11621222691001,0,false,1.4835601806640626,20240809_160446
3.9908998,4.999166,4.952896,11.246875,0.862761,29.397236,59.59093,40,,,,,0,16847,1723190686462959,1712552971744667,1712552971746084,1712552971746110,16847,1,13.341000000000001,13.74,0,normal,6,0.2042800751929229,40,hold,hold,0,0,0,0,inf,false,,0.4,0,71018708.55571683,71018708.55571683,8.500965784333298,55970.77777777778,2,11621236622560,0,false,1.5372833251953124,20240809_160446
4.1072,5.291667,23.951519,0.014114,0.915782,22.948872,59.574654,40,,,,,0,20295,1723190686477117,1712552971776941,1712552971777152,1712552971777336,20295,1,14.158,32.274,0,normal,6,0.4852260292979689,40,hold,hold,0,0,0,0,inf,false,,0.4,0,74727519.83196983,74727519.83196983,8.502527224061277,52522.77777777778,2,11621250584078,0,false,1.4425811767578125,20240809_160446
3.9824,6.455105,9.546125,5.8301563,0.804114,29.395803,59.483303,40,,,,,0,18029,1723190686490778,1712552971777169,1712552971777294,1712552971777907,18029,1,13.661,0.228,0,normal,6,0.7530241552348269,40,hold,hold,0,0,0,0,inf,false,,0.4,0,74727519.83196983,74727519.83196983,8.495528264828966,54788.77777777778,2,11621264499043,0,false,1.5048187255859375,20240809_160446
4.0565,5.687292,6.7843747,7.210677,0.99468696,30.485048,59.63708,40,,,,,0,24556,1723190686504782,1712552971786362,1712552971789856,1712552971789904,24556,1,14.004,9.193,0,normal,6,0.9419932595773547,40,hold,hold,0,0,0,0,inf,false,,0.4,0,67673857.00865118,67673857.00865118,8.478276658426708,48261.77777777778,2,11621278371001,0,false,1.32554931640625,20240809_160446
3.995,5.387396,17.97181,0.015521,0.676615,28.72746,59.608505,40,0,,,,0,23225,1723190686518460,1712552971804863,1712552971813321,1712552971813367,23225,1,13.678,18.501,0,normal,6,1.1655060797291865,40,hold,hold,0,0,0,0,inf,false,,0.4,0,62457614.81837576,62457614.81837576,8.453949835870423,49592.77777777778,2,11621292331136,0,false,1.3621063232421875,20240809_160446
4.061,5.37776,4.076981,10.545417,0.652396,30.709137,59.397987,40,,,,,0,20347,1723190686532531,1712552971814173,1712552971814755,1712552971814774,20347,1,14.071,9.31,0,normal,6,1.3186974815592165,40,hold,hold,0,0,0,0,inf,false,,0.4,0,62457614.81837576,62457614.81837576,8.423643363149713,52470.77777777778,2,11621306237608,0,false,1.4411529541015626,20240809_160446
3.8768,4.8447924,6.844746,8.894375,0.63625,30.662764,59.56433,40,,,,,0,21506,1723190686546602,1712552971827923,1712552971830886,1712552971830911,21506,1,14.071,13.75,0,normal,6,1.4001571013894918,40,hold,hold,0,0,0,0,inf,false,,0.4,0,58850736.83194835,58850736.83194835,8.386789474490561,51311.77777777778,2,11621320172576,0,false,1.409320068359375,20240809_160446
3.9156,4.778021,5.438502,10.029479,0.72208405,30.158323,59.63171,40,,,,,0,22526,1723190686560451,1712552971842139,1712552971844126,1712552971844150,22526,1,13.849,14.216000000000001,0,normal,6,1.422273470513213,40,hold,hold,0,0,0,0,inf,false,,0.4,0,63602832.28166006,63602832.28166006,8.347117656869179,50291.77777777778,2,11621334059403,0,false,1.381304931640625,20240809_160446
4.1271,5.043229,4.22255,10.956198,0.591667,29.894543,59.689384,40,,,,,0,29310,1723190686574719,1712552971856311,1712552971857195,1712552971857241,29310,1,14.268,14.172,0,normal,6,1.369446378613213,40,hold,hold,0,0,0,0,inf,false,,0.4,0,65772602.45025196,65772602.45025196,8.295472292642014,43507.77777777778,2,11621347960488,0,false,1.194976806640625,20240809_160446
4.1194,4.527135,4.981454,11.301406,0.686198,29.511793,59.630383,40,,,,,0,24277,1723190686588293,1712552971869830,1712552971871571,1712552971871589,24277,1,13.574,13.519,0,normal,6,1.2383627608537497,40,hold,hold,0,0,0,0,inf,false,,0.4,0,77749248.96321557,77749248.96321557,8.238315934431768,48540.77777777778,2,11621361920354,0,false,1.3332122802734376,20240809_160446
3.9809,4.802344,4.621915,10.872604,0.85302,29.060411,59.762497,40,,,,,0,27333,1723190686602333,1712552971884099,1712552971885890,1712552971885918,27333,1,14.040000000000001,14.269,0,normal,6,1.1191718779141797,40,hold,hold,0,0,0,0,inf,false,,0.4,0,83441206.6684025,83441206.6684025,8.17834989652156,45484.77777777778,2,11621375759592,0,false,1.2492767333984376,20240809_160446
3.9499002,5.064375,5.436569,11.859844,0.838229,28.840403,59.608322,40,,,,,0,29657,1723190686615590,1712552971897158,1712552971898756,1712552971898790,29657,1,13.257,13.059000000000001,0,normal,6,0.9375735705008776,40,hold,hold,0,0,0,0,inf,false,,0.4,0,91231041.91374792,91231041.91374792,8.117651765271166,43160.77777777778,2,11621389740118,0,false,1.1854461669921876,20240809_160446
3.9538,5.228333,7.057846,9.53974,0.728334,28.72333,59.618385,40,,,,,0,25718,1723190686629874,1712552971912597,1712552971915027,1712552971915064,25718,1,14.284,15.439,0,normal,6,0.7525254244585038,40,hold,hold,0,0,0,0,inf,false,,0.4,0,74182551.02310924,74182551.02310924,8.049627193817457,47099.77777777778,2,11621403652930,0,false,1.293634033203125,20240809_160446
3.9744,5.368386,11.295696,6.034739,0.700365,28.751888,59.627773,40,,,,,0,29374,1723190686643306,1712552971926852,1712552971932257,1712552971932317,29374,1,13.432,14.255,0,normal,6,0.5393744163778298,40,hold,hold,0,0,0,0,inf,false,,0.4,0,63756554.98648294,63756554.98648294,7.981145906469608,43443.77777777778,2,11621417547927,0,false,1.193218994140625,20240809_160446
4.0845,5.2480206,5.8504267,11.539271,0.815104,28.536257,59.54308,40,,,,,0,32372,1723190686657605,1712552971939178,1712552971940890,1712552971940925,32372,1,14.299,12.326,0,normal,6,0.35041522653997853,40,hold,hold,0,0,0,0,inf,false,,0.4,0,66042156.834677085,66042156.834677085,7.903228973653993,40445.77777777778,2,11621431534291,0,false,1.1108764648437501,20240809_160446
4.0603,5.477708,6.647482,9.546667,0.858698,28.396412,59.61527,40,,,,,0,32554,1723190686671634,1712552971956451,1712552971956632,1712552971956673,32554,1,14.029,17.273,0,normal,6,0.20066597566415958,40,hold,hold,0,0,0,0,inf,false,,0.4,0,66042156.834677085,66042156.834677085,7.818257680896453,40263.77777777778,2,11621445392031,0,false,1.105877685546875,20240809_160446
4.025,6.0535407,10.204129,7.9153132,0.805781,28.455,59.497864,40,,,,,0,27269,1723190686685240,1712552971968160,1712552971971574,1712552971971609,27269,1,13.606,11.709,0,normal,6,0.0131824202171587,40,hold,hold,0,0,0,0,inf,false,,0.4,0,73700040.44650862,73700040.44650862,7.730643841591324,45548.77777777778,2,11621459392629,0,false,1.2510345458984375,20240809_160446
4.0499,4.876042,8.371825,8.632759,0.984531,28.261145,59.6126,40,,,,,0,33371,1723190686699207,1712552971984273,1712552971985940,1712552971985975,33371,1,13.967,16.113,0,normal,6,-0.1748068208755582,40,hold,hold,0,0,0,0,inf,false,,0.4,0,75446925.85493447,75446925.85493447,7.643307262691379,39446.77777777778,2,11621473200575,0,false,1.0834381103515625,20240809_160446
4.0136,5.279322,5.575678,11.47349,0.96864605,28.18024,59.627377,40,,,,,0,32737,1723190686713150,1712552971996520,1712552971996675,1712552971996715,32737,1,13.943,12.247,0,normal,6,-0.4044554452179133,40,hold,hold,0,0,0,0,inf,false,,0.4,0,75446925.85493447,75446925.85493447,7.551945441007741,40080.77777777778,2,11621487129214,0,false,1.1008514404296876,20240809_160446
3.9212,5.110677,7.787154,8.334688,0.753646,28.371042,59.56891,40,,,,,0,26828,1723190686727097,1712552972008583,1712552972013892,1712552972013937,26828,1,13.947000000000001,12.063,0,normal,6,-0.7411344165779014,40,hold,hold,0,0,0,0,inf,false,,0.4,0,62976836.78619215,62976836.78619215,7.4581118740662085,45989.77777777778,2,11621501008564,0,false,1.26314697265625,20240809_160446
4.0912,5.319792,9.90186,6.594479,0.90682304,28.17389,59.592743,40,,,,,0,34744,1723190686740919,1712552972022237,1712552972029338,1712552972029399,34744,1,13.822000000000001,13.654,0,normal,6,-1.1652345659440413,40,hold,hold,0,0,0,0,inf,false,,0.4,0,52118865.60387946,52118865.60387946,7.368056190648211,38073.77777777778,2,11621514938729,0,false,1.0457275390625,20240809_160446
4.3131003,4.998177,6.542535,11.029897,0.937969,28.042753,59.603428,40,,,,,0,31934,1723190686755035,1712552972039057,1712552972039232,1712552972039276,31934,1,14.116,16.82,0,normal,6,-1.0766904303255787,40,hold,hold,0,0,0,0,inf,false,,0.4,0,52118865.60387946,52118865.60387946,7.273701019814018,40883.77777777778,2,11621528837025,0,false,1.122906494140625,20240809_160446
